"T1";"T2";"T3";"T41";"T42";"T5";"T61";"T62";"T71";"T72";"T8"
5;"100";"00";"0001";"0000";"00";"1";"1";"0";"1";"100000000"
0;"100";"00";"0000";"0000";"00";"1";"1";"0";"0";"110000000"
6;"100";"10";"1100";"0010";"00";"1";"1";"0";"0";"100000000"
0;"100";"00";"0000";"0000";"00";"1";"1";"0";"0";"100000000"
10;"110";"11";"0000";"0000";"10";"1";"1";"0";"0";"111111111"
29;"111";"10";"1111";"0000";"00";"1";"1";"0";"0";"111111111"
10;"000";"00";"0000";"0000";"00";"1";"1";"0";"1";"110000000"
13;"111";"11";"1111";"1011";"00";"1";"1";"0";"0";"111100000"
9;"100";"00";"0000";"0000";"00";"1";"1";"1";"1";"111111001"
30;"111";"11";"1011";"1000";"11";"1";"1";"0";"0";"111111111"
20;"111";"00";"0000";"0000";"00";"1";"1";"0";"0";"100000000"
5;"000";"00";"0000";"0000";"00";"1";"1";"1";"1";"000000000"
13;"110";"00";"0000";"0000";"00";"1";"1";"0";"0";"111111111"
3;"110";"00";"0000";"0000";"00";"1";"0";"0";"0";"010000000"
24;"110";"10";"1111";"1111";"10";"1";"1";"1";"0";"111111111"
8;"110";"10";"1010";"1000";"00";"1";"1";"1";"0";"111110101"
26;"110";"10";"1111";"0011";"00";"1";"0";"0";"0";"111111001"
16;"110";"10";"1110";"1100";"10";"1";"1";"1";"0";"111110111"
10;"110";"10";"0000";"0000";"00";"1";"1";"0";"0";"111111111"
16;"100";"10";"1111";"0010";"00";"1";"1";"0";"1";"111101110"
24;"110";"10";"0000";"0000";"00";"1";"0";"0";"0";"011000000"
27;"110";"10";"0000";"0000";"00";"1";"1";"0";"1";"111111101"
0;"100";"00";"0000";"0000";"00";"1";"1";"0";"0";"110000000"
0;"100";"00";"0000";"0000";"00";"1";"1";"0";"1";"111000000"
16;"110";"00";"0000";"0000";"00";"1";"1";"1";"0";"100001000"
29;"111";"10";"1111";"1110";"10";"1";"1";"0";"0";"111111011"
19;"100";"10";"1111";"1010";"00";"1";"1";"1";"1";"111111000"
18;"110";"10";"0000";"0000";"00";"1";"1";"0";"0";"111100000"
7;"110";"10";"0000";"0000";"10";"1";"0";"0";"1";"111001000"
0;"000";"00";"0000";"0000";"10";"1";"1";"0";"0";"100100100"
0;"110";"11";"0000";"0000";"00";"1";"1";"0";"0";"111001000"
11;"111";"10";"0000";"0000";"10";"1";"1";"0";"0";"111111111"
100;"111";"11";"1111";"1111";"00";"1";"1";"1";"1";"111111111"
29;"111";"11";"1111";"1111";"11";"1";"1";"0";"1";"111110000"
14;"110";"11";"1111";"0011";"11";"1";"1";"1";"0";"111110100"
18;"110";"11";"1110";"1001";"10";"1";"1";"1";"1";"101000000"
15;"100";"00";"0000";"0000";"00";"1";"0";"0";"0";"111111000"
1;"000";"00";"0000";"0000";"00";"1";"1";"0";"1";"100000000"
10;"110";"11";"0000";"0000";"00";"1";"1";"1";"1";"111111111"
10;"100";"10";"1011";"0000";"00";"1";"1";"0";"0";"100000110"
9;"100";"00";"0000";"0000";"00";"1";"1";"0";"0";"100100100"
2;"100";"00";"0000";"0000";"00";"1";"1";"0";"0";"101000000"
3;"100";"00";"0000";"0000";"00";"1";"0";"0";"1";"000000000"
9;"100";"00";"0000";"0000";"00";"1";"0";"0";"0";"100001000"
