"T1";"T2";"T3";"T41";"T42";"T5";"T61";"T62";"T71";"T72";"T81";"T82";"T83";"T84";"T85";"T86";"T87";"T88";"T89"
29;3;1;"1111";"0000";0;1;1;0;0;1;1;1;1;1;1;1;1;1
10;0;0;"0000";"0000";0;1;1;0;1;1;1;0;0;0;0;0;0;0
13;3;2;"1111";"1011";0;1;1;0;0;1;1;1;1;0;0;0;0;0
9;1;0;"0000";"0000";0;1;1;1;1;1;1;1;1;1;1;0;0;1
30;3;2;"1011";"1000";2;1;1;0;0;1;1;1;1;1;1;1;1;1
20;3;0;"0000";"0000";0;1;1;0;0;1;0;0;0;0;0;0;0;0
5;0;0;"0000";"0000";0;1;1;1;1;0;0;0;0;0;0;0;0;0
13;2;0;"0000";"0000";0;1;1;0;0;1;1;1;1;1;1;1;1;1
3;2;0;"0000";"0000";0;1;0;0;0;0;1;0;0;0;0;0;0;0
24;2;1;"1111";"1111";1;1;1;1;0;1;1;1;1;1;1;1;1;1
8;2;1;"1010";"1000";0;1;1;1;0;1;1;1;1;1;0;1;0;1
26;2;1;"1111";"0011";0;1;0;0;0;1;1;1;1;1;1;0;0;1
16;2;1;"1110";"1100";1;1;1;1;0;1;1;1;1;1;0;1;1;1
10;2;1;"0000";"0000";0;1;1;0;0;1;1;1;1;1;1;1;1;1
16;1;1;"1111";"0010";0;1;1;0;1;1;1;1;1;0;1;1;1;0
24;2;1;"0000";"0000";0;1;0;0;0;0;1;1;0;0;0;0;0;0
27;2;1;"0000";"0000";0;1;1;0;1;1;1;1;1;1;1;1;0;1
0;1;0;"0000";"0000";0;1;1;0;0;1;1;0;0;0;0;0;0;0
0;1;0;"0000";"0000";0;1;1;0;1;1;1;1;0;0;0;0;0;0
16;2;0;"0000";"0000";0;1;1;1;0;1;0;0;0;0;1;0;0;0
29;3;1;"1111";"1110";1;1;1;0;0;1;1;1;1;1;1;0;1;1
19;1;1;"1111";"1010";0;1;1;1;1;1;1;1;1;1;1;0;0;0
18;2;1;"0000";"0000";0;1;1;0;0;1;1;1;1;0;0;0;0;0
7;2;1;"0000";"0000";1;1;0;0;1;1;1;1;0;0;1;0;0;0
0;0;0;"0000";"0000";1;1;1;0;0;1;0;0;1;0;0;1;0;0
0;2;2;"0000";"0000";0;1;1;0;0;1;1;1;0;0;1;0;0;0
11;3;1;"0000";"0000";1;1;1;0;0;1;1;1;1;1;1;1;1;1
100;3;2;"1111";"1111";0;1;1;1;1;1;1;1;1;1;1;1;1;1
29;3;2;"1111";"1111";2;1;1;0;1;1;1;1;1;1;0;0;0;0
14;2;2;"1111";"0011";2;1;1;1;0;1;1;1;1;1;0;1;0;0
18;2;2;"1110";"1001";1;1;1;1;1;1;0;1;0;0;0;0;0;0
15;1;0;"0000";"0000";0;1;0;0;0;1;1;1;1;1;1;0;0;0
1;0;0;"0000";"0000";0;1;1;0;1;1;0;0;0;0;0;0;0;0
10;2;2;"0000";"0000";0;1;1;1;1;1;1;1;1;1;1;1;1;1
10;1;1;"1011";"0000";0;1;1;0;0;1;0;0;0;0;0;1;1;0
9;1;0;"0000";"0000";0;1;1;0;0;1;0;0;1;0;0;1;0;0
2;1;0;"0000";"0000";0;1;1;0;0;1;0;1;0;0;0;0;0;0
3;1;0;"0000";"0000";0;1;0;0;1;0;0;0;0;0;0;0;0;0
9;1;0;"0000";"0000";0;1;0;0;0;1;0;0;0;0;1;0;0;0
