"T1";"T21";"T22";"T23";"T31";"T32";"T41";"T42";"T51";"T52";"T61";"T62";"T71";"T72";"T81";"T82";"T83";"T84";"T85";"T86";"T87";"T88";"T89"
15;"1";"1";"1";"1";"1";"0000";"0000";"1";"0";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1"
13;"1";"0";"0";"0";"0";"0000";"0000";"0";"0";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1"
15;"1";"0";"0";"1";"0";"0001";"0000";"0";"0";"1";"0";"0";"0";"1";"1";"0";"1";"1";"0";"0";"0";"0"
19;"1";"0";"0";"1";"0";"1101";"1001";"0";"0";"1";"1";"0";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1"
4;"1";"0";"0";"0";"0";"1101";"0000";"0";"0";"1";"1";"0";"0";"1";"1";"1";"1";"0";"1";"0";"0";"0"
14;"1";"1";"0";"1";"0";"0111";"1001";"0";"0";"1";"1";"0";"0";"1";"1";"1";"1";"1";"0";"1";"1";"1"
5;"1";"1";"0";"0";"0";"0001";"0000";"0";"0";"1";"1";"0";"0";"1";"1";"1";"1";"0";"0";"1";"1";"0"
28;"1";"1";"1";"1";"1";"1101";"0000";"0";"0";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"0"
27;"1";"1";"1";"1";"0";"0011";"0010";"0";"0";"1";"1";"0";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1"
31;"1";"1";"0";"1";"1";"1011";"1111";"0";"0";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1"
3;"1";"1";"1";"1";"0";"1111";"0011";"0";"0";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1"
5;"1";"1";"1";"1";"1";"0000";"0000";"0";"0";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1"
4;"1";"1";"0";"1";"1";"1111";"1111";"0";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
10;"1";"1";"0";"1";"1";"0110";"0011";"1";"0";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1"
