"T1";"T2";"T3";"T41";"T42";"T5";"T61";"T62";"T71";"T72";"T81";"T82";"T83";"T84";"T85";"T86";"T87";"T88";"T89"
5;"011";"00";"0100";"0000";"00";"1";"0";"1";"0";"1";"0";"1";"1";"1";"0";"0";"0";"0"
14;"110";"00";"0011";"0001";"00";"1";"1";"1";"0";"1";"1";"1";"1";"1";"0";"0";"0";"0"
0;"000";"10";"0010";"0000";"00";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
15;"110";"11";"0010";"0000";"00";"1";"0";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1"
24;"111";"11";"1110";"0010";"10";"1";"1";"0";"0";"1";"1";"1";"1";"1";"0";"0";"1";"0"
3;"100";"00";"0000";"0000";"00";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1"
3;"000";"00";"0000";"0000";"00";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
6;"110";"00";"0111";"0000";"00";"1";"0";"0";"0";"1";"1";"1";"1";"1";"1";"1";"0";"1"
3;"110";"10";"0000";"0000";"00";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";"0";"0";"0"
4;"110";"00";"1111";"0000";"00";"1";"1";"1";"0";"1";"1";"1";"1";"0";"0";"1";"1";"0"
30;"111";"11";"0010";"0000";"10";"1";"0";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
2;"000";"00";"0000";"0000";"00";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
11;"111";"11";"1111";"0011";"00";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"0"
14;"110";"00";"1101";"1000";"00";"1";"1";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0"
3;"000";"10";"0000";"0000";"00";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
13;"111";"11";"0011";"0000";"10";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1"
5;"100";"00";"0001";"0000";"00";"1";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0"
0;"100";"00";"0000";"0000";"00";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0"
6;"100";"10";"1100";"0010";"00";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
0;"100";"00";"0000";"0000";"00";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
10;"110";"11";"0000";"0000";"10";"1";"1";"0";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1"
29;"111";"10";"1111";"0000";"00";"1";"1";"0";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1"
10;"000";"00";"0000";"0000";"00";"1";"1";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0"
13;"111";"11";"1111";"1011";"00";"1";"1";"0";"0";"1";"1";"1";"1";"0";"0";"0";"0";"0"
9;"100";"00";"0000";"0000";"00";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";"0";"1"
30;"111";"11";"1011";"1000";"11";"1";"1";"0";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1"
20;"111";"00";"0000";"0000";"00";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
5;"000";"00";"0000";"0000";"00";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
13;"110";"00";"0000";"0000";"00";"1";"1";"0";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1"
3;"110";"00";"0000";"0000";"00";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
24;"110";"10";"1111";"1111";"10";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1"
8;"110";"10";"1010";"1000";"00";"1";"1";"1";"0";"1";"1";"1";"1";"1";"0";"1";"0";"1"
26;"110";"10";"1111";"0011";"00";"1";"0";"0";"0";"1";"1";"1";"1";"1";"1";"0";"0";"1"
16;"110";"10";"1110";"1100";"10";"1";"1";"1";"0";"1";"1";"1";"1";"1";"0";"1";"1";"1"
10;"110";"10";"0000";"0000";"00";"1";"1";"0";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1"
16;"100";"10";"1111";"0010";"00";"1";"1";"0";"1";"1";"1";"1";"1";"0";"1";"1";"1";"0"
24;"110";"10";"0000";"0000";"00";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0"
27;"110";"10";"0000";"0000";"00";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"0";"1"
0;"100";"00";"0000";"0000";"00";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0"
0;"100";"00";"0000";"0000";"00";"1";"1";"0";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0"
16;"110";"00";"0000";"0000";"00";"1";"1";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0"
29;"111";"10";"1111";"1110";"10";"1";"1";"0";"0";"1";"1";"1";"1";"1";"1";"0";"1";"1"
19;"100";"10";"1111";"1010";"00";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";"0";"0"
18;"110";"10";"0000";"0000";"00";"1";"1";"0";"0";"1";"1";"1";"1";"0";"0";"0";"0";"0"
7;"110";"10";"0000";"0000";"10";"1";"0";"0";"1";"1";"1";"1";"0";"0";"1";"0";"0";"0"
0;"000";"00";"0000";"0000";"10";"1";"1";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0"
0;"110";"11";"0000";"0000";"00";"1";"1";"0";"0";"1";"1";"1";"0";"0";"1";"0";"0";"0"
11;"111";"10";"0000";"0000";"10";"1";"1";"0";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1"
100;"111";"11";"1111";"1111";"00";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
29;"111";"11";"1111";"1111";"11";"1";"1";"0";"1";"1";"1";"1";"1";"1";"0";"0";"0";"0"
14;"110";"11";"1111";"0011";"11";"1";"1";"1";"0";"1";"1";"1";"1";"1";"0";"1";"0";"0"
18;"110";"11";"1110";"1001";"10";"1";"1";"1";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0"
15;"100";"00";"0000";"0000";"00";"1";"0";"0";"0";"1";"1";"1";"1";"1";"1";"0";"0";"0"
1;"000";"00";"0000";"0000";"00";"1";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0"
10;"110";"11";"0000";"0000";"00";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
10;"100";"10";"1011";"0000";"00";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0"
9;"100";"00";"0000";"0000";"00";"1";"1";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0"
2;"100";"00";"0000";"0000";"00";"1";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0"
3;"100";"00";"0000";"0000";"00";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
9;"100";"00";"0000";"0000";"00";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0"
